Timestamp;Filename;OCR_Text;Perusahaan tidak jelas atau tidak ada informasi valid (40%);Deskripsi posisi, persyaratan, dan lokasi kerja yang tidak jelas (25%);Deskripsi pekerjaan tidak spesifik (Jobdesc) (20%);Tidak ada proses wawancara dan seleksi yang jelas(5%);Ada permintaan biaya pendaftaran(5%);Gaji tidak realistis (5%);Total;Label
2022-12-28T07:12:37.000Z;2022-12-28_post_lokermagang0_image.jpg;UP WFO MALANG SUGARNUTS INDONESIA PROGRAM MAGANG REKRUTMEN TERBUKA Sedang mencari: ILLUSTRATOR DAN DESAINER GRAFIS BERGABUNG BERSAMA KAMI Berlaku hingga 31 Januari 2022 Kirim CV & Portofolio kreatif Anda ke: sugarnutsco@gmail.com Kunjungi juga: www.lokerdesain.com @sediapay @belajarmahir @lokerdeskusi;0;0,25;0,2;0;0;0;0,45;Not Fraud
2022-12-26T08:03:04.000Z;2022-12-26_post_lokermagang1_combined.jpg;P WFO JAKARTA PSI PSI JAKARTA PROGRAM MAGANG PSI JAKARTA BATCH KEMBALI DIBUKA! Kami membuka kesempatan bagi Anda yang berminat untuk bergabung dalam Program Magang PSI Jakarta. Kriteria Peserta: - Usia 17-25 tahun - Pelajar dan/atau profesional muda yang memiliki motivasi tinggi - Siap dan bersedia untuk beraktivitas di area Jakarta - Kemampuan analisis dan komunikasi yang baik - Potensi kepemimpinan yang baik - Minat untuk berkontribusi bagi kemajuan daerah dan bangsa - Kemampuan bekerja mandiri dan semangat proaktif Tahapan Seleksi: 1. Pendaftaran Berkas Administrasi: 21 Desember 2022 - 4 Januari 2023 2. Pengumuman Seleksi Administrasi: 6 Januari 2023 3. Pelaksanaan Wawancara: 9-11 Januari 2023 4. Pengumuman Hasil Wawancara: 13 Januari 2023 Persyaratan Dokumen: 1. Resume/CV (tidak lebih dari dua halaman) 2. Video dengan topik mengenai Isu sosial-politik-lingkungan yang relevan di DKI Jakarta atau permasalahan dari sistem di Indonesia atau relevansi perjuangan PSI dengan kebutuhan anak muda (video durasi maksimal 3 menit) 3. Transkrip Nilai (Opsional) 4. Surat Rekomendasi (Opsional) Persyaratan dokumen dapat dikirim melalui: [https://bit.ly/DaftarMagangPSIJakartaXI](https://bit.ly/DaftarMagangPSIJakartaXI) Untuk informasi lebih lanjut, kunjungi: [www.lokerdesain.com](www.lokerdesain.com) atau @sediapay, @belajarmahir, @lokerdeskusi. P WFO JAKARTA Area Program Magang Organisasi dan Kepartaian Komite Seleksi Caleg Content Creator Tenaga Ahli Fraksi Sekretariat Fraksi Sertifikat dan kriteria magang khusus politik. Segera daftar dan jadilah bagian dari PSI Jakarta!;0;0;0,2;0;0;0;0,2;Not Fraud
2022-12-26T05:05:33.000Z;2022-12-26_post_lokermagang2_combined.jpg;"P WFH FULLTIME Asia Land YES, MUNGKIN INI BUAT KAMU! Asia Land membuka kesempatan bagi kamu untuk BELAJAR dalam industri properti sambil mendapatkan PENGHASILAN melalui program ""PAID INTERNSHIP FULLTIME WFH."" Kualifikasi: - Berkomitmen untuk bekerja secara full-time - Mahasiswa Tingkat Akhir - Mau belajar dan Bertanggung jawab COMMUNITY DEVELOPMENT INTERN Asia Land Menggerakan perekonomian komunitas berbasis wanita di wilayah properti Asia Land dengan dampak sosial. (FULLTIME WORK FROM HOME) Kirimkan CV kamu ke email dengan subjek yang sesuai: Email: HR@asialand.co.id Subjek Email: Nama_Intern-CommunityDevelopmentIntern_NoWhatsapp Untuk informasi lebih lanjut, kunjungi: [www.lokerdesain.com](www.lokerdesain.com) atau @sediapay, @belajarmahir, @lokerdeskusi. Bergabunglah dengan Asia Land dan jadilah bagian dari program magang ini!";0;0;0;0;0;0;0;Not Fraud
2022-12-24T06:54:18.000Z;2022-12-24_post_lokermagang3_image.jpg;P HYBRID SEMARANG hercodigital OPEN INTERNSHIP Bergabunglah bersama kami untuk mendapatkan pengalaman nyata dan meningkatkan keterampilan Anda sebagai Marketing Intern. Manfaat: - Bimbingan dari mentor berpengalaman - Peningkatan keterampilan - Pengembangan diri - Tim yang mendukung - Model hybrid, bisa WFH atau WFO - Sertifikat Magang Kirimkan CV dan portofolio Anda ke hrd@hercodigital.id dengan subjek: Marketing Intern. Persyaratan: - Mahasiswi aktif semester akhir/magang dengan latar belakang pendidikan dalam Komunikasi/Marketing atau jurusan lain yang relevan. - Menguasai platform media sosial - Kemampuan komunikasi yang kuat, terorganisir dengan baik, dan detail-oriented. Alamat kami: Herco Digital Indonesia JI MT. Haryono No. 427-429, Semarang Buru! Kesempatan terbatas. Segera ajukan aplikasi Anda. Dapatkan informasi lebih lanjut di [www.lokerdesain.com](www.lokerdesain.com) atau melalui @sediapay, @belajarmahir, @lokerdeskusi. Ayo bergabung bersama kami!;0;0;0,2;0;0;0;0,2;Not Fraud
2022-12-22T10:00:46.000Z;2022-12-22_post_lokermagang4_image.jpg;"UP WFH ONLINE KLTC Anude Jiraorshioifalieaia(iu 61= E Yov arn 30 20-= YoyIsrn! KAMI SEDANG MEREKRUT! Program Magang KLTC Batch 2 Posisi yang tersedia: - CONTENT CREATOR - GRAPHIC DESIGNER - SOCIAL MEDIA TALENT - PUBLIC RELATION Manfaat Magang: - Mendapatkan Ilmu Baru - Sertifikat Magang - Meningkatkan Life Skill - Rekomendasi Surat - Pengalaman Magang - Pelatihan Pengembangan Diri senilai 2 juta rupiah - Meningkatkan Kepercayaan Diri - Memiliki CV Yang Menarik - Akses Canva Pro - Membangun Relasi Profesional - Exclusive T-Shirt KLTC Internship Program - Meningkatkan Communication Skill - Exclusive Training Kit ""Dengan mengikuti Program Internship ini, Anda akan menjadi bagian dari Pusat Psikologi Terapan dan Manajemen Sumber Daya Manusia Terdepan di Indonesia. Kami menantikan Anda untuk berkolaborasi dan menciptakan hal-hal hebat bersama!"" Link Pendaftaran: [bit.ly/internshipkltc](bit.ly/internshipkltc) Untuk informasi lebih lanjut, hubungi Admin KLTC: 0856 4010 5640 Kunjungi juga [www.lokerdesain.com](www.lokerdesain.com) atau @sediapay, @belajarmahir, @lokerdeskusi. Segera daftar!";0;0;0;0;0;0;0;Not Fraud
2022-12-22T05:47:16.000Z;2022-12-22_post_lokermagang5_image.jpg;P WFO JAKARTA TIMUR RO STUDIO Saat ini membuka kesempatan magang! Posisi: Graphic Design Penerimaan baru untuk JANUARI 2023. Kirimkan CV & portofolio Anda ke: hey@rostudio.id Info lebih lanjut kunjungi [www.lokerdesain.com](www.lokerdesain.com) atau melalui @sediapay, @belajarmahir, @lokerdeskusi. Ayo segera kirimkan aplikasi Anda!;0;0,25;0,2;0;0;0;0,45;Not Fraud
2022-12-21T07:05:50.000Z;2022-12-21_post_lokermagang6_combined.jpg;"P HYBRID BANDUNG ATVA EGE Cca KAMI SEDANG MEREKRUT UNTUK MAGANG BERBAYAR! Posisi yang tersedia: 1. Content Creator 2. Spesialis Media Sosial Manfaat: - Jam Kerja Fleksibel dan Hybrid (WFO dan WFH) - Uang Saku - Sertifikat Magang - Terbuka untuk siswa dan mahasiswa Persyaratan lebih lanjut, lihat caption atau slide selanjutnya. Kirim CV dan portofolio Anda dalam format PDF melalui email ke atvacustom@gmail.com Dengan subjek ""magangjan2z"" Jobdesk Spesialis Media Sosial: - Mengelola sosial media, posting konten digital, membuat copywriting Persyaratan: - Siswa atau mahasiswa dengan jurusan terkait seperti multimedia, manajemen pemasaran, atau jurusan apapun yang memiliki ketertarikan di bidang media sosial. Manfaat: - Uang saku - Sertifikat magang - Pengalaman di bisnis nyata - Pelatihan persiapan dunia kerja Ayo bergabung dengan kami! Kirimkan aplikasi Anda segera ke atvacustom@gmail.com dengan subjek ""magangjan2z"". Untuk informasi lebih lanjut, kunjungi [www.lokerdesain.com](www.lokerdesain.com) atau melalui @sediapay, @belajarmahir, @lokerdeskusi. Segera bergabung dan tingkatkan pengalaman Anda!";0;0;0;0;0;0;0;Not Fraud
2022-12-13T07:02:00.000Z;2022-12-13_post_lokermagang7_combined.jpg;P WFH THU INDONESIA NINI NEXT OPEN REKRUTMEN (batch 2) 19 Desember - Februari 2023 Segera Bergabung! Klik Link di bawah ini: [Link Rekrutmen](thuniniofficial) Tentang Kami: THU Vini Tuna dikenal sebagai sumber Protein, Vitamin D, Vitamin C, Vitamin B6, Vitamin B12, Zat Besi, Asam Lemak, dan Omega 3 yang tinggi, dengan kalori, lemak, dan kolesterol yang rendah. Nini sangat baik bagi tubuh kita. Namun, karena manfaatnya yang luar biasa, harga Tuna cukup tinggi dengan permintaan yang juga tinggi. Thunini cocok sebagai makanan pendamping ASI (MPASI) untuk ibu-ibu muda dan lansia, dengan produk-produk tanpa MSG dan pengawet buatan. Thunini membantu meningkatkan kesehatan, menjaga sistem kekebalan tubuh, dan meningkatkan nafsu makan. Lowongan Pekerjaan: - Content Writer - KOL SPECIALIST - Event Researcher - SEO/SEM Specialist - Partnership - Social Media Talent - Content Creative Director Karir di THUNINI OFFICIAL: - Tahap V (V-Stage): Menjadi seorang relawan di Thunini Official, mengikuti magang, menghadiri kegiatan, serta mendapatkan pelatihan bulanan dan manfaat gaji dan bonus lainnya. - Tahap I (I-Stage): Menjadi kepala divisi, dan mendapatkan insentif. Segera bergabung dengan kami! Hubungi kami melalui @thuniniofficial atau 08111770399. Untuk informasi lebih lanjut, kunjungi [www.lokerdesain.com](www.lokerdesain.com) atau melalui @sediapay, @belajarmahir, @lokerdeskusi. Ayo segera jadilah bagian dari THUNINI OFFICIAL!;0;0,25;0,2;0;0;0;0,45;Not Fraud
2022-12-10T04:11:50.000Z;2022-12-10_post_lokermagang8_image.jpg;P WFO JAKARTA SELATAN XKASHA PAID INTERNATIonAL INTERNSHIP Posisi: KOL Specialist Live Stream Host Kualifikasi: - Minimal SMK atau sedang menjalani kuliah semester 5 atau lulusan baru. - Terbuka untuk semua jurusan. - Aktif di media sosial. - Memiliki pengetahuan yang baik dalam dunia media sosial (Instagram, TikTok, YouTube, Marketplace). - Berpenampilan menarik dan percaya diri di depan kamera. - Bersedia bekerja WFH/WFO (berdasarkan proyek). Segera lamar sekarang! Kirimkan portofolio terbaik Anda melalui [https://bit.ly/INTERNAKASHA2022](https://bit.ly/INTERNAKASHA2022). Untuk informasi lebih lanjut, kunjungi [www.lokerdesain.com](www.lokerdesain.com) atau melalui @sediapay, @belajarmahir, @lokerdeskusi. Ayo segera bergabung dan kembangkan karir Anda bersama XKASHA!;0;0;0;0;0;0;0;Not Fraud
2022-12-12T08:45:39.000Z;2022-12-12_post_lokermagang9_combined.jpg;Mau magang di Eropa bersama Markija Berdaya? Dengan magang bersama Markija Berdaya, kamu akan memiliki kesempatan untuk mendapatkan: 1. Gaji kompetitif Eropa. 2. Dukungan dalam pengurusan visa dan tiket pesawat. 3. Akomodasi tempat tinggal dan transportasi lokal. 4. Asuransi kesehatan. 5. Pengalaman kerja internasional dan kredit akademik. 6. Pengalaman belajar, bekerja, dan hidup di Eropa. Posisi yang tersedia: Tech Role: - Welder - Fitter - Polisher - Operator mesin - Operator perakitan - Penyetel mesin - Pekerja pengecoran - Electrician - Operator mesin pengecoran/penembakan - Operator mesin SMT - Penyetel mesin CNC - Operator kabel - Pekerja perakitan interior & upholstery - Operator Thermoforming - Operator Autoclave - Site Maintenance - Operator Packaging - Java Developer Non-Tech Role: - Cook - VAT Compliance - Senior Indirect TAX Specialist - Client Manager Pilihan perusahaan magang untuk kamu antara lain: - Prysmian - SAMSUNG - Continental - The Future Motion - Gemtech - SCHWARZMüLLER - Metál 7Rt - INTELLIGENTE FAHRZEUG - Csaba - SKODA - IRONTECH - MAHLE - Yanfeng - WQRKNET - Infineon - Covea - Groupe CSABA - KPMG - LÉPCSO - Morgan Stanley - BlJZTRó Jangan lewatkan kesempatan ini bersama Markija Berdaya!;0;0,25;0,2;0,05;0;0;0,5;Not Fraud
